MSG	8342432	DISPLAY_COORDS 0 0 1023 767								
MSG	8344122	TRIALID 1								
MSG	8346879	DRIFTCORRECT R RIGHT at 512,384  OFFSET 0.26 deg.  1.5,-13.0 pix.								
MSG	8347536	RECCFG CR 250 2 1 R								
MSG	8347536	ELCLCFG MLRR								
MSG	8347536	GAZE_COORDS 0.00 0.00 1023.00 767.00								
MSG	8347536	THRESHOLDS R 71 146								
MSG	8347536	ELCL_WINDOW_SIZES 176 188 0 0								
MSG	8347536	CAMERA_LENS_FOCAL_LENGTH 38.00								
MSG	8347536	ELCL_PROC ELLIPSE  (5)								
MSG	8347536	ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30								
MSG	8347537	!MODE RECORD CR 250 2 1 R								
EFIX	R	8364009	8364073	68	621.7	432.7	1602			
SSACC	R	8364077								
ESACC	R	8364077	8364165	92	622.0	426.5	847.7	461.4	3.74	865
SFIX	R	8364169								
EFIX	R	8364169	8364209	44	846.5	434.1	1615			
SSACC	R	8364213								
ESACC	R	8364213	8364345	136	848.1	431.8	854.6	456.8	0.50	1093
SFIX	R	8364349								
EFIX	R	8364349	8364369	24	855.6	447.4	1573			
SSACC	R	8364373								
ESACC	R	8364373	8364393	24	855.1	442.4	668.7	476.9	3.10	221
SFIX	R	8364397								
EFIX	R	8364397	8364593	200	641.8	489.8	1613			
SSACC	R	8364597								
ESACC	R	8364597	8364625	32	634.9	511.0	638.1	468.2	0.83	88
SFIX	R	8364629								
EFIX	R	8364629	8364673	48	637.7	486.0	1603			
SSACC	R	8364677								
SBLINK	R	8364769								
EBLINK	R	8364769	8364921	156						
ESACC	R	8364677	8364989	316	638.8	488.1	540.2	610.7	2.86	1417
SFIX	R	8364993								
EFIX	R	8364993	8365189	200	520.0	565.3	1593			
SSACC	R	8365193								
ESACC	R	8365193	8365225	36	517.4	592.7	529.7	583.6	0.27	52
SFIX	R	8365229								
EFIX	R	8365229	8365253	28	526.3	584.8	1559			
SSACC	R	8365257								
ESACC	R	8365257	8365297	44	529.5	571.1	320.8	473.8	3.89	187
SFIX	R	8365301								
EFIX	R	8365301	8365361	64	329.2	501.1	1540			
SSACC	R	8365365								
ESACC	R	8365365	8365381	20	322.0	518.4	326.4	522.6	0.11	58
SFIX	R	8365385								
EFIX	R	8365385	8365473	92	329.0	542.8	1541			
SSACC	R	8365477								
ESACC	R	8365477	8365489	16	331.5	525.3	329.9	543.5	0.35	49
SFIX	R	8365493								
EFIX	R	8365493	8365541	52	330.4	534.8	1548			
SSACC	R	8365545								
ESACC	R	8365545	8365565	24	329.5	535.4	391.1	508.9	1.13	102
SFIX	R	8365569								
EFIX	R	8365569	8365757	192	365.8	505.4	1541			
SSACC	R	8365761								
ESACC	R	8365761	8365825	68	363.2	511.0	469.8	563.3	2.01	138
SFIX	R	8365829								
EFIX	R	8365829	8365905	80	480.4	551.6	1547			
SSACC	R	8365909								
ESACC	R	8365909	8365925	20	485.3	562.6	494.4	560.5	0.15	59
SFIX	R	8365929								
EFIX	R	8365929	8366005	80	488.8	567.7	1543			
SSACC	R	8366009								
ESACC	R	8366009	8366013	8	484.4	577.0	484.9	579.7	0.05	49
SFIX	R	8366017								
EFIX	R	8366017	8366045	32	485.3	565.3	1554			
SSACC	R	8366049								
ESACC	R	8366049	8366077	32	484.1	560.0	586.7	555.6	1.67	114
SFIX	R	8366081								
EFIX	R	8366081	8366173	96	568.9	561.4	1608			
SSACC	R	8366177								
ESACC	R	8366177	8366193	20	564.0	555.8	559.8	565.1	0.19	62
SFIX	R	8366197								
EFIX	R	8366197	8366225	32	571.1	561.7	1610			
SSACC	R	8366229								
SBLINK	R	8366257								
EBLINK	R	8366257	8366417	164						
ESACC	R	8366229	8366465	240	570.2	550.0	630.6	663.9	2.40	1329
SFIX	R	8366469								
EFIX	R	8366469	8366501	36	639.5	662.4	1574			
SSACC	R	8366505								
ESACC	R	8366505	8366513	12	649.7	636.7	661.0	607.3	0.59	74
SFIX	R	8366517								
EFIX	R	8366517	8366593	80	649.5	611.6	1667			
SSACC	R	8366597								
ESACC	R	8366597	8366605	12	653.2	643.1	654.3	668.1	0.48	60
SFIX	R	8366609								
EFIX	R	8366609	8366693	88	654.1	675.0	1646			
SSACC	R	8366697								
